net,length_um
clknet_0_wr_clk,313.06
net10,264.72
u_mem._0258_,200.38
u_mem._0432_,199.76
u_mem._0441_,189.38
u_mem._0252_,174.5
u_mem.rd_addr\[3\],169.995
u_mem._0139_,160.46
u_mem._0248_,157.23
u_mem.rd_addr\[0\],154.2
u_mem._0145_,148.2
u_mem._0143_,146.86
clknet_1_1__leaf_rd_clk,146.15
u_mem._0136_,145.32
u_mem._0153_,141.72
u_mem._0196_,141.64
u_mem._0251_,140.3
u_mem._0254_,138.84
u_mem._0269_,137.9
u_mem._0151_,136.76
u_mem._0266_,136.32
u_mem._0237_,134.02
u_mem._0214_,133.8
u_mem._0236_,129.32
u_mem._0205_,128.44
u_mem.wr_addr\[1\],126.1
u_mem._0241_,125
u_mem._0270_,123.32
u_mem._0177_,123.04
u_mem._0265_,121.68
net1,120.72
u_mem._0186_,120.64
u_mem._0450_,120.11
u_mem._0147_,119.91
u_mem._0223_,118.19
wr_clk,116.53
u_mem._0235_,115.4
net21,113.9
u_mem._0141_,113.26
u_mem.rd_addr\[2\],112.26
u_mem._0477_,111.76
clknet_1_0__leaf_rd_clk,111.495
u_mem._0149_,110.68
u_mem._0423_,110.28
u_mem._0459_,107.26
u_mem._0167_,104.62
u_mem._0234_,101.9
u_mem._0263_,101.28
u_mem.wr_addr\[0\],101.22
u_mem._0256_,100.195
clknet_4_2_0_wr_clk,96.93
net8,95.65
clknet_4_3_0_wr_clk,93.65
u_mem._0233_,92.76
u_mem._0245_,90.995
net7,87.47
u_mem._0247_,86.67
u_mem._0243_,86.31
clknet_4_7_0_wr_clk,85.18
u_mem._0240_,84.01
net2,82.6
u_write._29_,81.26
net5,80.22
clknet_4_10_0_wr_clk,79.22
clknet_4_11_0_wr_clk,77.2
u_read.rd_ptr_bin\[4\],76.44
net3,75.4
u_mem._0468_,74.86
net6,74.58
clknet_4_8_0_wr_clk,72.68
clknet_4_15_0_wr_clk,72.66
clknet_4_12_0_wr_clk,72.62
u_mem._0396_,71.2
clknet_4_5_0_wr_clk,71.16
clknet_4_4_0_wr_clk,69.92
clknet_4_1_0_wr_clk,68.36
u_mem._0137_,67.12
u_mem._0157_,66.44
u_mem._0375_,66.4
rd_clk,64.84
u_mem._0333_,64.14
clknet_4_6_0_wr_clk,63.88
clknet_4_13_0_wr_clk,63.72
u_write._30_,63.1
clknet_4_9_0_wr_clk,62.76
u_mem._0326_,62.48
clknet_4_14_0_wr_clk,61.38
u_mem._0195_,60.87
u_mem._0268_,59.3
u_mem._0354_,59.3
net4,58.86
u_mem._0417_,58.66
u_mem._0312_,58.36
u_mem._0156_,57.36
u_mem._0291_,56.94
u_mem._0305_,56.78
u_mem._0155_,56.1
u_mem._0347_,56.02
u_mem.wr_addr\[2\],55.22
u_mem._0368_,54.24
u_mem._0389_,53.32
u_read._20_,52.86
clknet_4_0_0_wr_clk,52.34
u_mem.wr_addr\[3\],48.81
u_sync_rd2wr._03_,48.225
u_mem._0138_,47.62
u_mem._0166_,46.88
u_mem._0410_,46.56
u_mem._0294_,46.22
u_read._19_,44.195
u_mem._0284_,43.66
u_mem._0303_,43.56
u_read.rd_ptr_gray\[2\],43.4
u_read.rd_ptr_gray\[1\],42.2
u_mem._0345_,41.38
u_mem.rd_addr\[1\],40.5
u_mem._0282_,40.46
u_mem._0324_,39.84
u_mem._0366_,39.66
u_mem._0406_,38.22
u_mem._0253_,38.08
net11,37.9
u_read.rd_ptr_gray\[0\],37.36
u_sync_rd2wr.gray_sync2\[2\],37.24
u_write._22_,37.18
u_mem._0257_,35.84
u_sync_wr2rd._15_,34.92
u_mem._0387_,34.24
u_mem._0420_,33.86
u_mem._0381_,33.66
u_mem._0408_,32.96
u_read._22_,32.72
u_mem._0273_,32.56
u_mem._0331_,30.025
u_mem._0385_,29.86
u_write._21_,29.35
clknet_0_rd_clk,28.96
u_mem._0338_,27.36
u_read.wr_gray_sync2\[4\],27
u_mem._0394_,26.965
u_mem._0297_,26.7
